Date,S&P Adj Close,S&P Volume,S&P return
1-Sep-21,"4,307.54","85,528,860,000",-0.048737763
1-Aug-21,"4,522.68","80,500,760,000",0.028578051
1-Jul-21,"4,395.26","84,255,620,000",0.022493229
1-Jun-21,"4,297.50","102,544,180,000",0.02197084
1-May-21,"4,204.11","88,321,860,000",0.005471507
1-Apr-21,"4,181.17","83,124,090,000",0.051097322
1-Mar-21,"3,972.89","122,371,150,000",0.041562809
1-Feb-21,"3,811.15","99,082,320,000",0.0257569
1-Jan-21,"3,714.24","106,117,800,000",-0.011199117
1-Dec-20,"3,756.07","96,375,680,000",0.036448997
1-Nov-20,"3,621.63","101,247,180,000",0.102146448
1-Oct-20,"3,269.96","89,938,980,000",-0.02805568
1-Sep-20,"3,363.00","92,310,780,000",-0.040018103
1-Aug-20,"3,500.31","82,466,520,000",0.067719102
1-Jul-20,"3,271.12","96,928,130,000",0.053636778
1-Jun-20,"3,100.29","131,458,880,000",0.018221381
1-May-20,"3,044.31","107,135,190,000",0.04428649
1-Apr-20,"2,912.43","123,608,160,000",0.119420896
1-Mar-20,"2,584.59","162,185,380,000",-0.133667769
1-Feb-20,"2,954.22","84,436,590,000",-0.087859521
1-Jan-20,"3,225.52","77,287,980,000",-0.001629417
1-Dec-19,"3,230.78","72,325,540,000",0.028188741
1-Nov-19,"3,140.98","72,410,620,000",0.033480292
1-Oct-19,"3,037.56","77,720,640,000",0.02022582
1-Sep-19,"2,976.74","74,178,980,000",0.017035241
1-Aug-19,"2,926.46","80,269,220,000",-0.018257308
1-Jul-19,"2,980.38","70,599,470,000",0.013042767
1-Jun-19,"2,941.76","71,250,630,000",0.06665832
1-May-19,"2,752.06","77,250,740,000",-0.068040889
1-Apr-19,"2,945.83","70,090,370,000",0.038560336
1-Mar-19,"2,834.40","79,159,660,000",0.017765542
1-Feb-19,"2,784.49","70,638,770,000",0.029295593
1-Jan-19,"2,704.10","80,859,870,000",0.075742155
1-Dec-18,"2,506.85","84,162,180,000",-0.096265287
1-Nov-18,"2,760.17","80,620,020,000",0.017701777
1-Oct-18,"2,711.74","91,930,980,000",-0.071929349
1-Sep-18,"2,913.98","63,031,510,000",0.004285107
1-Aug-18,"2,901.52","69,523,070,000",0.029814322
1-Jul-18,"2,816.29","64,898,300,000",0.03538798
1-Jun-18,"2,718.37","77,891,360,000",0.004830713
1-May-18,"2,705.27","76,011,820,000",0.021378202
1-Apr-18,"2,648.05","70,194,700,000",0.002715112
1-Mar-18,"2,640.87","76,803,890,000",-0.027252513
1-Feb-18,"2,713.83","79,933,970,000",-0.039726116
1-Jan-18,"2,823.81","77,318,690,000",0.054657418
1-Dec-17,"2,673.61","65,531,700,000",0.009783604
1-Nov-17,"2,647.58","73,416,960,000",0.027695515
1-Oct-17,"2,575.26","71,088,550,000",0.021945599
1-Sep-17,"2,519.36","66,624,120,000",0.019118957
1-Aug-17,"2,471.65","70,784,900,000",0.000546343
1-Jul-17,"2,470.30","63,348,090,000",0.019163962
1-Jun-17,"2,423.41","81,078,810,000",0.004802283
1-May-17,"2,411.80","79,719,460,000",0.011509718
1-Apr-17,"2,384.20","65,369,860,000",0.009050141
1-Mar-17,"2,362.72","81,664,010,000",-0.000389306
1-Feb-17,"2,363.64","69,260,940,000",0.036523098
1-Jan-17,"2,278.87","70,576,420,000",0.017726298
1-Dec-16,"2,238.83","75,344,550,000",0.018037103
1-Nov-16,"2,198.81","88,445,380,000",0.033603472
1-Oct-16,"2,126.15","72,915,530,000",-0.019616782
1-Sep-16,"2,168.27","77,023,620,000",-0.001235245
1-Aug-16,"2,170.95","75,610,310,000",-0.001219919
1-Jul-16,"2,173.60","69,530,250,000",0.034990439
1-Jun-16,"2,098.86","86,852,700,000",0.000910432
1-May-16,"2,096.95","78,883,600,000",0.015208414
1-Apr-16,"2,065.30","81,124,990,000",0.002695733
