Australia,Canada,China Hong Kong,Denmark,Hungary,India,Japan,Kuwait,Mexico,New Zealand,Norway,Philippines,Saudi Arabia,Singapore,South Africa,Sweden,Switzerland,Taiwan,Thailand,United Kingdom
0.025567655,-0.000988105,0,0.025776074,-0.021893815,0.000192374,0.04753001,-0.003837698,-0.004910359,0.049625477,0.027879267,-0.003647458,0.000133306,0.021649728,-0.02077177,0.034325536,0.028958807,-0.017765545,-0.001604922,0.005735215
0.06316473,0.001207443,-0.000224901,0.04165346,-0.038416862,0.003456324,0.07931765,-0.00751441,0.033678148,0.070081484,0.042511576,-0.01136525,0.000279973,0.038304468,-0.022597945,0.025677796,0.047386403,-0.016375669,-0.018123415,-0.020674856
0.07592302,0.00246957,0.000423414,0.052507972,-0.045938961,0.00676052,0.005868896,-0.003754783,0.050260352,0.045531227,0.049046253,-0.012636548,0.000253301,0.033391612,-0.04973448,0.040759276,0.046849258,-0.023693731,-0.02568638,-0.030867366
0.117031148,0.023242037,0.000461811,0.104731248,-0.089865794,0.007074563,0.061257867,-0.011157504,0.043596223,0.023235248,0.106982394,-0.013854429,0.000213296,0.034999484,-0.079757769,0.077445056,0.084572453,-0.016362434,-0.017652598,-0.01232795
0.142212388,0.034887722,0.000121496,0.088646567,-0.073157383,-0.012313021,0.063322538,-0.013703784,0.042352326,0.083622173,0.109216715,-0.043518533,0.000426613,0.053793076,-0.102059147,0.075393571,0.071624788,-0.009452647,-0.041749582,0.031477613
0.081313414,0.024483294,0.001064532,0.052183063,-0.041932492,-0.011303306,0.050656017,-0.010455737,0.016477178,0.049754626,0.054271354,-0.054658695,0.000733336,0.055107471,-0.075109191,0.054951266,0.028562114,-0.008809016,-0.040405698,0.018775501
0.119706531,0.028037565,0.002200752,0.087888283,-0.072446033,-0.014964624,0.092685144,-0.014905458,0.074692343,0.085961417,0.016754705,-0.089137208,0.001093446,0.06192485,-0.096433,0.098979432,0.057971316,-0.000679881,0.008216642,0.030204166
0.122296035,0.021009514,0.002560577,0.132276207,-0.111121213,-0.026676679,0.067756731,-0.01628163,0.102332373,0.146727026,-0.007580066,-0.090368215,0.001427026,0.057521219,-0.094831971,0.135801712,0.104628301,0.001891132,-0.001215289,0.059681574
0.190661876,0.041806435,0.002554146,0.142077562,-0.122474336,-0.028076329,0.08795482,-0.011929773,0.08430262,0.203557071,-0.0075147,-0.108217471,0.001573863,0.072656601,-0.123802039,0.158532794,0.098690047,-0.004460513,0.031565366,0.042964136
0.241369439,0.057865861,0.003563466,0.185045572,-0.152613963,-0.042127384,0.105173982,-0.016075597,0.081089861,0.231771443,-0.030900519,-0.188318521,0.00185418,0.08542339,-0.16107169,0.201723573,0.143784861,-0.031171883,0.074239691,0.062004547
0.22364219,0.065334505,0.004354999,0.156400239,-0.131712362,-0.039882385,0.126581506,-0.018095944,0.110232211,0.190028064,-0.027466555,-0.157583376,0.002147943,0.087810538,-0.178684836,0.20901181,0.105244765,-0.042417294,0.079502084,0.087742638
0.152399502,0.04101944,0.004825095,0.064323084,-0.062513629,-0.033106932,0.165717747,-0.023512647,0.100152634,0.190028064,0.022145101,-0.157672572,0.002428487,0.078741054,-0.157509236,0.13599135,0.026825862,-0.035613393,0.079502084,0.02832834
