Singapore,Kuwait,Norway,Switzerland,China Hong Kong,Saudi Arabia,Denmark,Sweden,Canada,Australia,Taiwan,United Kingdom,Japan,New Zealand,Hungary,Mexico,Thailand,South Africa,Philippines,India
0.021649728,-0.003837698,0.027879267,0.028958807,0,0.000133306,0.025776074,0.034325536,-0.000988105,0.025567655,-0.017765545,0.005735215,0.04753001,0.049625477,-0.021893815,-0.004910359,-0.001604922,-0.02077177,-0.003647458,0.000192374
0.016301811,-0.003690877,0.014235435,0.017908973,-0.000224901,0.000146647,0.015478413,-0.008360753,0.00219772,0.036659771,0.001415014,-0.026259468,0.030345327,0.019488863,-0.016892897,0.038778926,-0.016545047,-0.001864912,-0.007746045,0.003263321
-0.004731615,0.003788092,0.006268206,-0.000512844,0.000648461,-2.67E-05,0.010420464,0.014703916,0.001260604,0.012000294,-0.007439895,-0.010407687,-0.068051101,-0.022942419,-0.007822619,0.016041941,-0.007702561,-0.027763943,-0.001285912,0.003292815
0.001555918,-0.007430621,0.055227442,0.036034983,3.84E-05,-4.00E-05,0.049617939,0.035249054,0.020721295,0.038207313,0.007509218,0.019129906,0.055065795,-0.021325024,-0.046041953,-0.006345216,0.008245581,-0.031594632,-0.001233468,0.000311934
0.018158069,-0.002575011,0.002018389,-0.011938037,-0.000340157,0.000213271,-0.014559814,-0.001904028,0.011381163,0.022543007,0.007024729,0.044352336,0.001945494,0.059015681,0.018358184,-0.001191934,-0.024530002,-0.024234248,-0.030080857,-0.019251389
0.001247299,0.003293176,-0.049535281,-0.04018447,0.000942921,0.000306592,-0.033494345,-0.019009138,-0.010053678,-0.053316682,0.000649773,-0.012314481,-0.01191221,-0.031254018,0.033689529,-0.024823802,0.001402435,0.030013064,-0.011647024,0.001022303
0.006461312,-0.004496737,-0.035585382,0.028592539,0.001135012,0.000359846,0.033934418,0.041734787,0.003469331,0.035506003,0.008201381,0.01121804,0.040002748,0.034490719,-0.031849051,0.057271492,0.050669684,-0.023055488,-0.036472026,-0.003703176
-0.004146839,-0.001396995,-0.023933768,0.044100425,0.000359034,0.000333216,0.040801914,0.033505886,-0.006836376,0.002312663,0.002572762,0.028613171,-0.022813903,0.055955587,-0.041695882,0.025719017,-0.009355065,0.001771899,-0.001351473,-0.011889985
0.01431213,0.004423884,6.59E-05,-0.005375794,-6.41E-06,0.000146629,0.008656328,0.020013249,0.020368978,0.06091605,-0.006339655,-0.015775907,0.018916377,0.049558477,-0.012772408,-0.016356004,0.032820541,-0.032005182,-0.019622507,-0.001438012
0.011902029,-0.00419588,-0.023562887,0.041044164,0.001006749,0.000279876,0.037622672,0.037280584,0.015414981,0.04258771,-0.02683105,0.018256056,0.015827093,0.023442488,-0.034346149,-0.002962973,0.041368513,-0.042535651,-0.089821283,-0.014456953
0.002199278,-0.002053355,0.003543459,-0.033695232,0.000788722,0.00029322,-0.024172347,0.006064819,0.007060105,-0.014280397,-0.011607231,0.024235387,0.019370275,-0.0338889,0.024665973,0.026956455,0.004898714,-0.020994817,0.037866017,0.002343735
-0.008337375,-0.005516531,0.051012801,-0.070951617,0.000468058,0.000279942,-0.079623951,-0.060396813,-0.022823878,-0.05822183,0.007105288,-0.05462165,0.034738935,0,0.079695633,-0.009078801,0,0.02578255,-0.000105881,0.007056898
0.007527979,-0.00173341,-0.000948162,0.015794243,9.62E-05,0.000239951,0.009470279,0.011977444,-0.000293095,-0.011547383,-0.021461842,-0.021928286,0.021711578,0.001174974,-0.005045963,0.002194968,-0.020221917,-0.022635608,0.028253818,0.009996334
0.003127917,0.002605016,-0.010357833,0.019840274,0.000282066,1.33E-05,0.011427997,0.027291003,0.019044385,-0.046341355,0.002934638,-0.0126454,0.012788411,-0.031364487,-0.009914538,0.007878518,0.013965259,0.010340243,0.019501495,-0.00065421
0.035166048,0.005787184,-0.016347544,0.030608371,0.000121802,-4.00E-05,-0.039976111,0.054738836,0.02757016,0,-0.012527355,-0.013991751,0.066715916,-0.056858235,-0.036817647,0.031674992,-0.034005449,-0.03159044,-0.019709464,0.002777902
0.010503954,0.003051636,0.002327636,0.006276105,0.000134647,0,0.004488994,-0.010429217,0.024741454,0.045439772,-0.000338199,0.007219433,-0.010580376,0.020458661,0.007262034,0.036201308,-0.010182271,0.004701829,-0.028366675,-0.000376408
-0.005690587,-0.00123476,-0.024855565,0.03304232,0.000262835,2.67E-05,-0.043133552,0,-0.005704703,-0.0068947,-0.028794915,-0.006224794,-0.037059221,-0.007227187,0.013506915,0.013657933,0.008135313,0.004623702,0.022386346,-0.000165128
0.008344439,0.000291776,0.006213599,0.002451642,9.62E-05,1.33E-05,0.001261721,0.009317634,0.019087577,0.003289976,-0.008134223,-0.00897183,0.049480512,-0.015234226,0.04488283,0.018122984,0.005073017,0.000997888,-0.032121437,0.003016072
-0.010273679,0.003965811,0.024479427,-0.040993107,5.77E-05,8.00E-05,0.033431977,0.02226168,-0.006646486,-0.000471241,-0.00781348,0.014556737,0.004687499,0.024677645,0.021572485,0.000293306,-0.005955963,-0.019552474,-0.014847418,0.002031553
-0.034321698,0.007252281,0.033020996,-0.035337772,0.000160271,8.00E-05,0.0388042,0.019141188,-0.013736807,0.037206781,-0.006319251,0.018596325,-0.047713556,0.062662897,0.02122355,-0.001241769,0.037452048,-0.014115118,0.054645537,0.003072642
0.014536001,0.002131349,0.003510208,-0.032764974,9.62E-05,0.000279816,0.005184394,-0.02020968,-0.018238396,-0.062196556,0.002605717,0.014825187,0.003296695,-0.069396691,-0.00176144,-0.024314308,-0.007010914,-0.060865468,0.003679666,-0.009430516
0.032561475,-0.00216363,0.002726842,0.01011587,0.000198725,0.001052989,-0.011079515,0.001563423,-0.003929909,0.023988655,0.000867992,-0.008916408,0.028325518,0.0173086,0.002863065,0.03401518,-0.002365646,-0.03965964,-0.003220941,0.002309598
